snapshot_date,account_id,active_users_7d,conversations_7d,ai_suggestions_accepted_7d,tickets_7d,escalations_7d,renewal_due_in_30d_flag,churned_flag
2025-01-01,acct_00000001,0,0,0,0,0,0,0
2025-01-02,acct_00000001,0,0,0,0,0,0,0
2025-01-03,acct_00000001,0,0,0,0,0,0,0
2025-01-04,acct_00000001,0,0,0,0,0,0,0
2025-01-05,acct_00000001,1,1,0,1,0,0,0
2025-01-06,acct_00000001,1,1,0,1,0,0,0
2025-01-07,acct_00000001,4,1,1,1,0,0,0
2025-01-08,acct_00000001,5,1,1,1,0,0,0
2025-01-09,acct_00000001,5,2,1,2,0,0,0
2025-01-10,acct_00000001,5,2,1,2,0,0,0
2025-01-11,acct_00000001,8,2,1,2,0,0,0
2025-01-12,acct_00000001,9,2,1,2,0,0,0
2025-01-13,acct_00000001,11,2,1,2,0,0,0
2025-01-14,acct_00000001,11,4,1,4,0,0,0
2025-01-15,acct_00000001,11,4,1,4,0,0,0
2025-01-16,acct_00000001,11,4,2,4,0,0,0
2025-01-17,acct_00000001,11,4,3,4,0,0,0
2025-01-18,acct_00000001,11,6,3,6,0,0,0
2025-01-19,acct_00000001,12,5,3,5,0,0,0
2025-01-20,acct_00000001,12,6,4,6,0,0,0
2025-01-21,acct_00000001,11,4,3,4,0,0,0
2025-01-22,acct_00000001,8,4,4,4,0,0,0
2025-01-23,acct_00000001,10,4,3,4,0,0,0
2025-01-24,acct_00000001,12,4,3,4,0,0,0
2025-01-25,acct_00000001,11,2,4,2,0,0,0
2025-01-26,acct_00000001,13,2,4,2,0,0,0
2025-01-27,acct_00000001,13,1,4,1,0,0,0
2025-01-28,acct_00000001,13,2,4,2,0,0,0
2025-01-29,acct_00000001,12,2,3,2,0,0,0
2025-01-30,acct_00000001,12,1,3,1,0,0,0
2025-01-31,acct_00000001,12,1,6,1,0,0,0
2025-02-01,acct_00000001,10,1,5,1,0,0,0
2025-02-02,acct_00000001,10,3,6,3,0,0,0
2025-02-03,acct_00000001,10,5,5,5,0,0,0
2025-02-04,acct_00000001,10,4,6,4,0,0,0
2025-02-05,acct_00000001,9,4,6,4,0,0,0
2025-02-06,acct_00000001,8,4,7,4,0,0,0
2025-02-07,acct_00000001,7,4,3,4,0,0,0
2025-02-08,acct_00000001,8,4,3,4,0,0,0
2025-02-09,acct_00000001,7,2,2,2,0,0,0
2025-02-10,acct_00000001,7,0,4,0,0,0,0
2025-02-11,acct_00000001,7,0,3,0,0,0,0
2025-02-12,acct_00000001,6,0,3,0,0,0,0
2025-02-13,acct_00000001,6,0,3,0,0,0,0
2025-02-14,acct_00000001,5,0,3,0,0,0,0
2025-02-15,acct_00000001,6,1,4,1,0,0,0
2025-02-16,acct_00000001,5,1,4,1,0,0,0
2025-02-17,acct_00000001,6,2,2,2,1,0,0
2025-02-18,acct_00000001,6,2,2,2,1,0,0
2025-02-19,acct_00000001,6,2,3,2,1,0,0
2025-02-20,acct_00000001,6,2,2,2,1,0,0
