conversation_id,account_id,user_id,created_at,resolved_at,channel,issue_type,resolved_by,ai_assist_used_flag,escalated_flag,resolution_minutes,csat_score
conv_00000039,acct_00000001,usr_00000015,2025-01-05 16:24:14,2025-01-05 16:44:14,chat,setup,human,0,0,20,3.4
conv_00000022,acct_00000001,usr_00000009,2025-01-09 21:08:55,2025-01-09 21:40:55,email,permissions,human,0,0,32,3.8
conv_00000027,acct_00000001,usr_00000003,2025-01-12 19:01:05,2025-01-12 19:38:05,email,reporting,human,0,0,37,3.3
conv_00000014,acct_00000001,usr_00000013,2025-01-14 11:46:40,2025-01-14 12:21:40,chat,reporting,human,0,0,35,3.1
conv_00000013,acct_00000001,usr_00000020,2025-01-14 16:17:39,2025-01-14 17:26:39,web,bug,ai,1,0,69,3.8
conv_00000019,acct_00000001,usr_00000010,2025-01-16 10:58:33,2025-01-16 11:28:33,web,reporting,ai,1,0,30,4.2
conv_00000036,acct_00000001,usr_00000020,2025-01-18 18:26:33,2025-01-18 20:04:33,chat,bug,human,0,0,98,3.6
conv_00000012,acct_00000001,usr_00000010,2025-01-18 19:05:58,2025-01-18 19:51:58,email,reporting,human,0,0,46,3.6
conv_00000018,acct_00000001,usr_00000020,2025-01-20 18:13:27,2025-01-20 19:05:27,chat,api,ai,1,0,52,4.0
conv_00000025,acct_00000001,usr_00000007,2025-01-23 10:25:06,2025-01-23 12:04:06,chat,api,human,0,0,99,3.2
conv_00000015,acct_00000001,usr_00000017,2025-01-28 12:53:58,2025-01-28 13:56:58,email,api,human,0,0,63,3.3
conv_00000028,acct_00000001,usr_00000001,2025-02-02 09:04:02,2025-02-02 09:29:02,chat,setup,ai,1,0,25,3.6
conv_00000005,acct_00000001,usr_00000016,2025-02-02 14:59:47,2025-02-02 15:38:47,chat,billing,ai,1,0,39,3.7
conv_00000008,acct_00000001,usr_00000019,2025-02-03 17:38:19,2025-02-03 18:27:19,chat,billing,human,0,0,49,3.7
conv_00000021,acct_00000001,usr_00000019,2025-02-03 21:10:45,2025-02-03 22:07:45,chat,billing,human,0,0,57,3.4
conv_00000010,acct_00000001,usr_00000005,2025-02-15 20:33:52,2025-02-15 21:22:52,chat,reporting,human,0,0,49,3.0
conv_00000009,acct_00000001,usr_00000002,2025-02-17 15:22:26,2025-02-17 17:19:26,chat,api,ai_plus_human,1,1,117,3.4
conv_00000007,acct_00000001,usr_00000018,2025-02-21 20:08:54,2025-02-21 21:52:54,web,bug,human,0,0,104,3.7
conv_00000023,acct_00000001,usr_00000010,2025-02-23 15:44:45,2025-02-23 16:38:45,email,billing,human,0,0,54,3.7
conv_00000002,acct_00000001,usr_00000013,2025-02-25 17:49:52,2025-02-25 18:55:52,web,bug,ai_plus_human,1,0,66,3.0
conv_00000020,acct_00000001,usr_00000016,2025-02-27 12:54:10,2025-02-27 14:29:10,email,bug,human,0,0,95,2.9
conv_00000037,acct_00000001,usr_00000011,2025-02-28 20:06:04,2025-02-28 20:30:04,chat,reporting,ai,1,0,24,3.9
conv_00000006,acct_00000001,usr_00000010,2025-03-02 13:06:26,2025-03-02 13:51:26,email,billing,human,0,0,45,3.2
conv_00000035,acct_00000001,usr_00000003,2025-03-02 20:44:39,2025-03-02 21:11:39,email,workflow,ai,1,0,27,4.1
conv_00000004,acct_00000001,usr_00000002,2025-03-04 09:29:15,2025-03-04 09:40:15,chat,setup,human,0,0,11,2.9
conv_00000026,acct_00000001,usr_00000016,2025-03-05 07:46:04,2025-03-05 08:12:04,web,setup,human,0,0,26,3.7
conv_00000031,acct_00000001,usr_00000009,2025-03-05 09:57:34,2025-03-05 11:10:34,email,reporting,human,0,1,73,2.8
conv_00000030,acct_00000001,usr_00000011,2025-03-08 08:17:01,2025-03-08 08:51:01,email,permissions,ai_plus_human,1,0,34,3.7
conv_00000011,acct_00000001,usr_00000006,2025-03-08 11:00:17,2025-03-08 12:07:17,chat,billing,ai_plus_human,1,1,67,3.0
conv_00000042,acct_00000001,usr_00000004,2025-03-11 08:15:24,2025-03-11 08:30:24,email,permissions,ai,1,0,15,3.3
conv_00000016,acct_00000001,usr_00000004,2025-03-14 14:35:04,2025-03-14 14:59:04,chat,setup,human,0,0,24,3.2
conv_00000001,acct_00000001,usr_00000008,2025-03-14 17:04:15,2025-03-14 17:55:15,email,api,ai,1,0,51,2.8
conv_00000017,acct_00000001,usr_00000017,2025-03-16 20:16:02,2025-03-16 21:04:02,chat,workflow,human,0,0,48,3.9
conv_00000038,acct_00000001,usr_00000020,2025-03-20 13:49:55,2025-03-20 14:18:55,email,setup,human,0,0,29,3.3
conv_00000029,acct_00000001,usr_00000012,2025-03-25 11:55:55,2025-03-25 12:25:55,email,permissions,human,0,0,30,3.1
conv_00000034,acct_00000001,usr_00000020,2025-03-26 11:01:02,2025-03-26 11:29:02,web,permissions,human,0,0,28,3.1
conv_00000033,acct_00000001,usr_00000011,2025-03-31 14:47:24,2025-03-31 15:21:24,email,permissions,human,0,0,34,2.7
conv_00000032,acct_00000001,usr_00000011,2025-04-04 16:15:56,2025-04-04 18:10:56,email,bug,human,0,0,115,3.6
conv_00000041,acct_00000001,usr_00000008,2025-04-06 16:59:10,2025-04-06 18:32:10,chat,bug,human,0,0,93,3.0
conv_00000003,acct_00000001,usr_00000009,2025-04-07 11:19:40,2025-04-07 12:03:40,chat,reporting,human,0,0,44,3.3
conv_00000043,acct_00000001,usr_00000017,2025-04-08 19:15:11,2025-04-08 20:08:11,chat,workflow,human,0,0,53,3.6
conv_00000024,acct_00000001,usr_00000016,2025-04-10 18:23:20,2025-04-10 19:42:20,web,bug,human,0,0,79,3.4
conv_00000040,acct_00000001,usr_00000011,2025-04-12 11:05:12,2025-04-12 12:06:12,email,bug,ai,1,0,61,3.5
conv_00000057,acct_00000002,usr_00000025,2025-01-13 08:08:40,2025-01-13 09:48:40,chat,bug,human,0,0,100,3.7
conv_00000051,acct_00000002,usr_00000028,2025-01-14 10:43:41,2025-01-14 12:39:41,email,api,human,0,1,116,2.6
conv_00000066,acct_00000002,usr_00000025,2025-01-15 12:43:09,2025-01-15 13:30:09,chat,setup,human,0,1,47,2.5
conv_00000054,acct_00000002,usr_00000025,2025-01-15 15:50:59,2025-01-15 16:21:59,chat,permissions,ai,1,0,31,3.5
conv_00000050,acct_00000002,usr_00000029,2025-01-16 08:52:36,2025-01-16 09:14:36,web,setup,human,0,0,22,3.5
conv_00000059,acct_00000002,usr_00000031,2025-01-23 15:14:31,2025-01-23 15:56:31,web,workflow,human,0,0,42,3.0
conv_00000053,acct_00000002,usr_00000024,2025-02-07 09:50:34,2025-02-07 10:27:34,web,workflow,human,0,0,37,3.4
conv_00000063,acct_00000002,usr_00000022,2025-02-08 16:42:19,2025-02-08 17:24:19,chat,billing,human,0,0,42,3.3
conv_00000047,acct_00000002,usr_00000021,2025-02-13 20:49:36,2025-02-13 21:12:36,chat,workflow,ai,1,0,23,3.1
conv_00000062,acct_00000002,usr_00000024,2025-02-16 12:09:50,2025-02-16 12:51:50,chat,reporting,human,0,0,42,3.2
conv_00000067,acct_00000002,usr_00000024,2025-02-16 13:13:27,2025-02-16 14:33:27,web,api,human,0,0,80,3.8
conv_00000060,acct_00000002,usr_00000031,2025-02-17 15:10:37,2025-02-17 15:30:37,web,setup,human,0,0,20,3.6
conv_00000071,acct_00000002,usr_00000022,2025-02-17 21:26:16,2025-02-17 21:52:16,chat,reporting,ai,1,0,26,4.2
